region,datetime,latency_ms
US-CAISO,2024-01-01 00:00:00,145.8
US-CAISO,2024-01-01 01:00:00,217.97
US-CAISO,2024-01-01 02:00:00,167.37
US-CAISO,2024-01-01 03:00:00,139.01
US-CAISO,2024-01-01 04:00:00,147.81
US-CAISO,2024-01-01 05:00:00,94.1
US-CAISO,2024-01-01 06:00:00,134.29
US-CAISO,2024-01-01 07:00:00,172.52
US-CAISO,2024-01-01 08:00:00,148.05
US-CAISO,2024-01-01 09:00:00,202.17
US-CAISO,2024-01-01 10:00:00,152.62
US-CAISO,2024-01-01 11:00:00,164.65
US-CAISO,2024-01-01 12:00:00,135.02
US-CAISO,2024-01-01 13:00:00,87.27
US-CAISO,2024-01-01 14:00:00,124.86
US-CAISO,2024-01-01 15:00:00,45.5
US-CAISO,2024-01-01 16:00:00,194.48
US-CAISO,2024-01-01 17:00:00,141.71
US-CAISO,2024-01-01 18:00:00,141.62
US-CAISO,2024-01-01 19:00:00,128.78
US-CAISO,2024-01-01 20:00:00,176.09
US-CAISO,2024-01-01 21:00:00,119.49
US-CAISO,2024-01-01 22:00:00,123.1
US-CAISO,2024-01-01 23:00:00,133.07
US-CAISO,2024-01-02 00:00:00,146.58
US-CAISO,2024-01-02 01:00:00,112.24
US-CAISO,2024-01-02 02:00:00,176.46
US-CAISO,2024-01-02 03:00:00,148.82
US-CAISO,2024-01-02 04:00:00,193.97
US-CAISO,2024-01-02 05:00:00,131.8
US-CAISO,2024-01-02 06:00:00,159.67
US-CAISO,2024-01-02 07:00:00,180.09
US-CAISO,2024-01-02 08:00:00,103.5
US-CAISO,2024-01-02 09:00:00,133.85
US-CAISO,2024-01-02 10:00:00,99.5
US-CAISO,2024-01-02 11:00:00,193.97
US-CAISO,2024-01-02 12:00:00,162.01
US-CAISO,2024-01-02 13:00:00,137.85
US-CAISO,2024-01-02 14:00:00,139.76
US-CAISO,2024-01-02 15:00:00,115.01
US-CAISO,2024-01-02 16:00:00,154.46
US-CAISO,2024-01-02 17:00:00,134.02
US-CAISO,2024-01-02 18:00:00,133.05
US-CAISO,2024-01-02 19:00:00,198.22
US-CAISO,2024-01-02 20:00:00,125.61
US-CAISO,2024-01-02 21:00:00,141.71
US-CAISO,2024-01-02 22:00:00,158.1
US-CAISO,2024-01-02 23:00:00,144.66
US-CAISO,2024-01-03 00:00:00,173.07
US-CAISO,2024-01-03 01:00:00,103.42
US-CAISO,2024-01-03 02:00:00,140.88
US-CAISO,2024-01-03 03:00:00,160.27
US-CAISO,2024-01-03 04:00:00,89.46
US-CAISO,2024-01-03 05:00:00,133.3
US-CAISO,2024-01-03 06:00:00,184.32
US-CAISO,2024-01-03 07:00:00,149.46
US-CAISO,2024-01-03 08:00:00,171.55
US-CAISO,2024-01-03 09:00:00,186.95
US-CAISO,2024-01-03 10:00:00,136.49
US-CAISO,2024-01-03 11:00:00,97.51
US-CAISO,2024-01-03 12:00:00,98.45
US-CAISO,2024-01-03 13:00:00,205.17
US-CAISO,2024-01-03 14:00:00,122.02
US-CAISO,2024-01-03 15:00:00,203.5
US-CAISO,2024-01-03 16:00:00,165.5
US-CAISO,2024-01-03 17:00:00,142.05
US-CAISO,2024-01-03 18:00:00,143.56
US-CAISO,2024-01-03 19:00:00,151.59
US-CAISO,2024-01-03 20:00:00,99.49
US-CAISO,2024-01-03 21:00:00,167.49
US-CAISO,2024-01-03 22:00:00,128.31
US-CAISO,2024-01-03 23:00:00,218.87
US-CAISO,2024-01-04 00:00:00,156.89
US-CAISO,2024-01-04 01:00:00,151.85
US-CAISO,2024-01-04 02:00:00,148.99
US-CAISO,2024-01-04 03:00:00,147.07
US-CAISO,2024-01-04 04:00:00,190.88
US-CAISO,2024-01-04 05:00:00,177.1
US-CAISO,2024-01-04 06:00:00,132.01
US-CAISO,2024-01-04 07:00:00,198.02
US-CAISO,2024-01-04 08:00:00,159.23
US-CAISO,2024-01-04 09:00:00,146.07
US-CAISO,2024-01-04 10:00:00,163.8
US-CAISO,2024-01-04 11:00:00,165.47
US-CAISO,2024-01-04 12:00:00,178.3
US-CAISO,2024-01-04 13:00:00,147.89
US-CAISO,2024-01-04 14:00:00,151.47
US-CAISO,2024-01-04 15:00:00,143.4
US-CAISO,2024-01-04 16:00:00,143.59
US-CAISO,2024-01-04 17:00:00,148.35
US-CAISO,2024-01-04 18:00:00,156.99
US-CAISO,2024-01-04 19:00:00,113.72
US-CAISO,2024-01-04 20:00:00,145.24
US-CAISO,2024-01-04 21:00:00,144.04
US-CAISO,2024-01-04 22:00:00,193.47
US-CAISO,2024-01-04 23:00:00,160.76
US-CAISO,2024-01-05 00:00:00,180.94
US-CAISO,2024-01-05 01:00:00,176.72
US-CAISO,2024-01-05 02:00:00,92.57
US-CAISO,2024-01-05 03:00:00,97.7
US-CAISO,2024-01-05 04:00:00,167.06
US-CAISO,2024-01-05 05:00:00,158.27
US-CAISO,2024-01-05 06:00:00,159.15
US-CAISO,2024-01-05 07:00:00,165.36
US-CAISO,2024-01-05 08:00:00,149.68
US-CAISO,2024-01-05 09:00:00,167.69
US-CAISO,2024-01-05 10:00:00,202.18
US-CAISO,2024-01-05 11:00:00,158.17
US-CAISO,2024-01-05 12:00:00,114.16
US-CAISO,2024-01-05 13:00:00,157.64
US-CAISO,2024-01-05 14:00:00,170.29
US-CAISO,2024-01-05 15:00:00,154.09
US-CAISO,2024-01-05 16:00:00,148.94
US-CAISO,2024-01-05 17:00:00,120.87
US-CAISO,2024-01-05 18:00:00,122.43
US-CAISO,2024-01-05 19:00:00,181.29
US-CAISO,2024-01-05 20:00:00,163.07
US-CAISO,2024-01-05 21:00:00,166.15
