state,grid_region,lat,lon
Gujarat,Western,23.22,72.68
Rajasthan,Northern,26.91,75.79
Tamil Nadu,Southern,13.08,80.27
Karnataka,Southern,12.97,77.59
Maharashtra,Western,18.52,73.86
Andhra Pradesh,Southern,16.51,80.52
Telangana,Southern,17.38,78.48
Madhya Pradesh,Western,23.26,77.41
Uttar Pradesh,Northern,26.85,80.95
Punjab,Northern,30.73,76.78
Haryana,Northern,28.46,77.03
Delhi NCR,Northern,28.61,77.21
West Bengal,Eastern,22.57,88.36
Odisha,Eastern,20.30,85.82
Kerala,Southern,9.93,76.27
Himachal Pradesh,Northern,31.10,77.17
Uttarakhand,Northern,30.32,78.03
Jammu & Kashmir,Northern,34.08,74.80
Chhattisgarh,Western,21.25,81.63
Jharkhand,Eastern,23.34,85.31
Assam,North Eastern,26.14,91.74
Goa,Western,15.49,73.82
Bihar,Eastern,25.61,85.14
